No.,APG Wave,Date,Time
0,1560,2024-10-04,15:21:47
1,1540,2024-10-04,15:21:47
2,1540,2024-10-04,15:21:47
3,1540,2024-10-04,15:21:47
4,1600,2024-10-04,15:21:47
5,1660,2024-10-04,15:21:47
6,1720,2024-10-04,15:21:47
7,1780,2024-10-04,15:21:47
8,1840,2024-10-04,15:21:47
9,1900,2024-10-04,15:21:47
10,1960,2024-10-04,15:21:48
11,1980,2024-10-04,15:21:48
12,2000,2024-10-04,15:21:48
13,2000,2024-10-04,15:21:48
14,2000,2024-10-04,15:21:48
15,1980,2024-10-04,15:21:48
16,2000,2024-10-04,15:21:48
17,2000,2024-10-04,15:21:48
18,1980,2024-10-04,15:21:48
19,1980,2024-10-04,15:21:48
20,1960,2024-10-04,15:21:48
21,1960,2024-10-04,15:21:48
22,1940,2024-10-04,15:21:48
23,1940,2024-10-04,15:21:48
24,1940,2024-10-04,15:21:48
25,1940,2024-10-04,15:21:48
26,1940,2024-10-04,15:21:48
27,1960,2024-10-04,15:21:48
28,2020,2024-10-04,15:21:48
29,2100,2024-10-04,15:21:48
30,2240,2024-10-04,15:21:48
31,2480,2024-10-04,15:21:48
32,2780,2024-10-04,15:21:48
33,3080,2024-10-04,15:21:48
34,3300,2024-10-04,15:21:48
35,3280,2024-10-04,15:21:48
36,3060,2024-10-04,15:21:48
37,2660,2024-10-04,15:21:48
38,2080,2024-10-04,15:21:48
39,1420,2024-10-04,15:21:48
40,900,2024-10-04,15:21:48
41,560,2024-10-04,15:21:48
42,360,2024-10-04,15:21:48
43,340,2024-10-04,15:21:48
44,480,2024-10-04,15:21:48
45,680,2024-10-04,15:21:48
46,900,2024-10-04,15:21:48
47,1100,2024-10-04,15:21:48
48,1300,2024-10-04,15:21:48
49,1440,2024-10-04,15:21:48
50,1580,2024-10-04,15:21:48
51,1700,2024-10-04,15:21:48
52,1820,2024-10-04,15:21:48
53,1960,2024-10-04,15:21:48
54,2120,2024-10-04,15:21:48
55,2260,2024-10-04,15:21:48
56,2360,2024-10-04,15:21:48
57,2460,2024-10-04,15:21:48
58,2500,2024-10-04,15:21:48
59,2480,2024-10-04,15:21:48
60,2460,2024-10-04,15:21:48
61,2300,2024-10-04,15:21:48
62,2200,2024-10-04,15:21:48
63,2100,2024-10-04,15:21:48
64,1980,2024-10-04,15:21:48
65,1860,2024-10-04,15:21:48
66,1760,2024-10-04,15:21:48
67,1660,2024-10-04,15:21:48
68,1620,2024-10-04,15:21:48
69,1600,2024-10-04,15:21:48
70,1600,2024-10-04,15:21:48
71,1640,2024-10-04,15:21:48
72,1680,2024-10-04,15:21:48
73,1740,2024-10-04,15:21:48
74,1800,2024-10-04,15:21:48
75,1840,2024-10-04,15:21:48
76,1900,2024-10-04,15:21:48
77,1920,2024-10-04,15:21:48
78,1960,2024-10-04,15:21:48
79,1980,2024-10-04,15:21:48
80,1980,2024-10-04,15:21:48
81,1980,2024-10-04,15:21:48
82,1980,2024-10-04,15:21:48
83,2000,2024-10-04,15:21:48
84,1980,2024-10-04,15:21:48
85,1980,2024-10-04,15:21:48
86,1960,2024-10-04,15:21:48
87,1960,2024-10-04,15:21:48
88,1960,2024-10-04,15:21:48
89,1940,2024-10-04,15:21:48
90,1940,2024-10-04,15:21:48
91,1940,2024-10-04,15:21:48
92,1940,2024-10-04,15:21:48
93,1920,2024-10-04,15:21:48
94,1940,2024-10-04,15:21:48
95,1940,2024-10-04,15:21:48
96,1940,2024-10-04,15:21:48
97,1960,2024-10-04,15:21:48
98,2000,2024-10-04,15:21:48
99,2120,2024-10-04,15:21:48
100,2280,2024-10-04,15:21:48
101,2540,2024-10-04,15:21:48
102,2860,2024-10-04,15:21:48
103,3180,2024-10-04,15:21:48
104,3320,2024-10-04,15:21:48
105,3240,2024-10-04,15:21:48
106,2980,2024-10-04,15:21:48
107,2500,2024-10-04,15:21:48
