No.,APG Wave,Date,Time
0,1700,2024-10-08,14:45:58
1,1820,2024-10-08,14:45:58
2,1900,2024-10-08,14:45:58
3,1940,2024-10-08,14:45:58
4,1960,2024-10-08,14:45:58
5,1920,2024-10-08,14:45:58
6,1880,2024-10-08,14:45:58
7,1840,2024-10-08,14:45:58
8,1780,2024-10-08,14:45:58
9,1720,2024-10-08,14:45:58
10,1660,2024-10-08,14:45:58
11,1640,2024-10-08,14:45:58
12,1620,2024-10-08,14:45:58
13,1620,2024-10-08,14:45:58
14,1620,2024-10-08,14:45:58
15,1640,2024-10-08,14:45:58
16,1660,2024-10-08,14:45:58
17,1640,2024-10-08,14:45:58
18,1660,2024-10-08,14:45:58
19,1700,2024-10-08,14:45:58
20,1740,2024-10-08,14:45:59
21,1760,2024-10-08,14:45:59
22,1820,2024-10-08,14:45:59
23,1820,2024-10-08,14:45:59
24,1840,2024-10-08,14:45:59
25,1820,2024-10-08,14:45:59
26,1840,2024-10-08,14:45:59
27,1880,2024-10-08,14:45:59
28,1920,2024-10-08,14:45:59
29,1940,2024-10-08,14:45:59
30,1960,2024-10-08,14:45:59
31,1980,2024-10-08,14:45:59
32,1960,2024-10-08,14:45:59
33,1940,2024-10-08,14:45:59
34,1920,2024-10-08,14:45:59
35,1880,2024-10-08,14:45:59
36,1780,2024-10-08,14:45:59
37,1700,2024-10-08,14:45:59
38,1640,2024-10-08,14:45:59
39,1580,2024-10-08,14:45:59
40,1600,2024-10-08,14:45:59
41,1640,2024-10-08,14:45:59
42,1740,2024-10-08,14:45:59
43,1860,2024-10-08,14:45:59
44,2020,2024-10-08,14:45:59
45,2280,2024-10-08,14:45:59
46,2360,2024-10-08,14:45:59
47,2440,2024-10-08,14:45:59
48,2560,2024-10-08,14:45:59
49,2660,2024-10-08,14:45:59
50,2820,2024-10-08,14:45:59
51,2940,2024-10-08,14:45:59
52,2960,2024-10-08,14:45:59
53,2800,2024-10-08,14:45:59
54,2560,2024-10-08,14:45:59
55,2260,2024-10-08,14:45:59
56,1920,2024-10-08,14:45:59
57,1640,2024-10-08,14:45:59
58,1440,2024-10-08,14:45:59
59,1340,2024-10-08,14:45:59
60,1320,2024-10-08,14:45:59
61,1360,2024-10-08,14:45:59
62,1400,2024-10-08,14:45:59
63,1460,2024-10-08,14:45:59
64,1580,2024-10-08,14:45:59
65,1620,2024-10-08,14:45:59
66,1700,2024-10-08,14:45:59
67,1780,2024-10-08,14:45:59
68,1860,2024-10-08,14:45:59
69,1920,2024-10-08,14:45:59
70,1900,2024-10-08,14:45:59
71,1880,2024-10-08,14:45:59
72,1840,2024-10-08,14:45:59
73,1760,2024-10-08,14:45:59
74,1700,2024-10-08,14:45:59
75,1680,2024-10-08,14:45:59
76,1680,2024-10-08,14:45:59
77,1720,2024-10-08,14:45:59
78,1780,2024-10-08,14:45:59
79,1880,2024-10-08,14:45:59
80,1920,2024-10-08,14:45:59
81,1960,2024-10-08,14:45:59
82,2040,2024-10-08,14:45:59
83,2040,2024-10-08,14:45:59
84,2020,2024-10-08,14:45:59
85,2000,2024-10-08,14:45:59
86,1940,2024-10-08,14:45:59
87,1920,2024-10-08,14:45:59
88,1900,2024-10-08,14:45:59
89,1900,2024-10-08,14:45:59
90,1900,2024-10-08,14:45:59
91,1900,2024-10-08,14:45:59
92,1840,2024-10-08,14:45:59
93,1800,2024-10-08,14:45:59
94,1760,2024-10-08,14:45:59
95,1740,2024-10-08,14:45:59
96,1740,2024-10-08,14:45:59
97,1780,2024-10-08,14:45:59
98,1800,2024-10-08,14:45:59
99,1840,2024-10-08,14:45:59
100,1860,2024-10-08,14:45:59
101,1840,2024-10-08,14:45:59
102,1860,2024-10-08,14:45:59
103,1880,2024-10-08,14:45:59
104,1900,2024-10-08,14:45:59
105,1960,2024-10-08,14:45:59
106,2020,2024-10-08,14:45:59
107,2040,2024-10-08,14:45:59
108,2060,2024-10-08,14:45:59
109,2020,2024-10-08,14:45:59
110,1940,2024-10-08,14:45:59
111,1860,2024-10-08,14:45:59
112,1800,2024-10-08,14:45:59
113,1760,2024-10-08,14:45:59
114,1760,2024-10-08,14:45:59
115,1840,2024-10-08,14:45:59
116,1900,2024-10-08,14:45:59
117,1940,2024-10-08,14:45:59
118,1960,2024-10-08,14:45:59
119,1920,2024-10-08,14:45:59
120,1900,2024-10-08,14:46:00
121,1900,2024-10-08,14:46:00
122,1920,2024-10-08,14:46:00
123,1900,2024-10-08,14:46:00
124,1880,2024-10-08,14:46:00
125,1860,2024-10-08,14:46:00
126,1900,2024-10-08,14:46:00
127,1900,2024-10-08,14:46:00
128,1940,2024-10-08,14:46:00
129,1980,2024-10-08,14:46:00
130,2000,2024-10-08,14:46:00
131,2060,2024-10-08,14:46:00
132,2220,2024-10-08,14:46:00
133,2440,2024-10-08,14:46:00
134,2660,2024-10-08,14:46:00
135,2880,2024-10-08,14:46:00
136,2960,2024-10-08,14:46:00
137,2800,2024-10-08,14:46:00
138,2500,2024-10-08,14:46:00
139,2080,2024-10-08,14:46:00
140,1640,2024-10-08,14:46:00
141,1220,2024-10-08,14:46:00
142,900,2024-10-08,14:46:00
143,760,2024-10-08,14:46:00
144,800,2024-10-08,14:46:00
145,940,2024-10-08,14:46:00
146,1140,2024-10-08,14:46:00
147,1380,2024-10-08,14:46:00
148,1640,2024-10-08,14:46:00
149,1880,2024-10-08,14:46:00
150,2100,2024-10-08,14:46:00
151,2220,2024-10-08,14:46:00
152,2300,2024-10-08,14:46:00
153,2300,2024-10-08,14:46:00
154,2240,2024-10-08,14:46:00
155,2140,2024-10-08,14:46:00
156,1980,2024-10-08,14:46:00
157,1840,2024-10-08,14:46:00
158,1720,2024-10-08,14:46:00
159,1640,2024-10-08,14:46:00
160,1660,2024-10-08,14:46:00
161,1740,2024-10-08,14:46:00
162,1840,2024-10-08,14:46:00
163,1940,2024-10-08,14:46:00
164,2020,2024-10-08,14:46:00
165,2060,2024-10-08,14:46:00
166,2080,2024-10-08,14:46:00
167,2080,2024-10-08,14:46:00
168,2060,2024-10-08,14:46:00
169,2020,2024-10-08,14:46:00
170,1940,2024-10-08,14:46:00
171,1880,2024-10-08,14:46:00
172,1820,2024-10-08,14:46:00
173,1780,2024-10-08,14:46:00
174,1760,2024-10-08,14:46:00
175,1760,2024-10-08,14:46:00
176,1780,2024-10-08,14:46:00
177,1800,2024-10-08,14:46:00
178,1820,2024-10-08,14:46:00
179,1880,2024-10-08,14:46:00
180,1900,2024-10-08,14:46:00
181,1900,2024-10-08,14:46:00
182,1920,2024-10-08,14:46:00
183,2000,2024-10-08,14:46:00
184,2140,2024-10-08,14:46:00
185,2180,2024-10-08,14:46:00
186,2120,2024-10-08,14:46:00
187,2040,2024-10-08,14:46:00
188,1880,2024-10-08,14:46:00
189,1740,2024-10-08,14:46:00
190,1700,2024-10-08,14:46:00
191,1740,2024-10-08,14:46:00
192,1800,2024-10-08,14:46:00
193,1820,2024-10-08,14:46:00
194,1820,2024-10-08,14:46:00
195,1840,2024-10-08,14:46:00
196,1840,2024-10-08,14:46:00
197,1840,2024-10-08,14:46:00
198,1860,2024-10-08,14:46:00
199,1880,2024-10-08,14:46:00
200,1880,2024-10-08,14:46:00
201,1900,2024-10-08,14:46:00
202,1940,2024-10-08,14:46:00
203,1960,2024-10-08,14:46:00
204,1980,2024-10-08,14:46:00
205,2000,2024-10-08,14:46:00
206,2020,2024-10-08,14:46:00
207,2020,2024-10-08,14:46:00
208,1960,2024-10-08,14:46:00
209,1920,2024-10-08,14:46:00
210,1880,2024-10-08,14:46:00
211,1840,2024-10-08,14:46:00
212,1820,2024-10-08,14:46:00
213,1820,2024-10-08,14:46:00
214,1820,2024-10-08,14:46:00
215,1860,2024-10-08,14:46:00
216,1860,2024-10-08,14:46:01
217,1920,2024-10-08,14:46:01
218,1960,2024-10-08,14:46:01
219,2020,2024-10-08,14:46:01
220,2120,2024-10-08,14:46:01
221,2240,2024-10-08,14:46:01
222,2340,2024-10-08,14:46:01
223,2420,2024-10-08,14:46:01
224,2420,2024-10-08,14:46:01
225,2360,2024-10-08,14:46:01
226,2200,2024-10-08,14:46:01
227,2000,2024-10-08,14:46:01
228,1760,2024-10-08,14:46:01
229,1540,2024-10-08,14:46:01
230,1440,2024-10-08,14:46:01
231,1400,2024-10-08,14:46:01
232,1420,2024-10-08,14:46:01
233,1480,2024-10-08,14:46:01
234,1580,2024-10-08,14:46:01
235,1700,2024-10-08,14:46:01
236,1800,2024-10-08,14:46:01
237,1900,2024-10-08,14:46:01
238,1980,2024-10-08,14:46:01
239,2020,2024-10-08,14:46:01
240,2040,2024-10-08,14:46:01
241,2040,2024-10-08,14:46:01
242,2000,2024-10-08,14:46:01
243,1940,2024-10-08,14:46:01
244,1900,2024-10-08,14:46:01
245,1840,2024-10-08,14:46:01
246,1800,2024-10-08,14:46:01
247,1780,2024-10-08,14:46:01
248,1840,2024-10-08,14:46:01
249,1880,2024-10-08,14:46:01
250,1940,2024-10-08,14:46:01
251,1980,2024-10-08,14:46:01
252,1980,2024-10-08,14:46:01
253,1940,2024-10-08,14:46:01
254,1920,2024-10-08,14:46:01
255,1920,2024-10-08,14:46:01
256,1880,2024-10-08,14:46:01
257,1880,2024-10-08,14:46:01
258,1900,2024-10-08,14:46:01
259,1920,2024-10-08,14:46:01
260,1920,2024-10-08,14:46:01
261,1920,2024-10-08,14:46:01
262,1920,2024-10-08,14:46:01
263,1900,2024-10-08,14:46:01
264,1880,2024-10-08,14:46:01
265,1840,2024-10-08,14:46:01
266,1800,2024-10-08,14:46:01
267,1780,2024-10-08,14:46:01
268,1760,2024-10-08,14:46:01
269,1760,2024-10-08,14:46:01
270,1780,2024-10-08,14:46:01
271,1780,2024-10-08,14:46:01
272,1840,2024-10-08,14:46:01
273,1860,2024-10-08,14:46:01
274,1900,2024-10-08,14:46:01
275,1920,2024-10-08,14:46:01
276,1940,2024-10-08,14:46:01
277,1920,2024-10-08,14:46:01
278,1920,2024-10-08,14:46:01
279,1940,2024-10-08,14:46:01
280,1940,2024-10-08,14:46:01
281,1920,2024-10-08,14:46:01
282,1920,2024-10-08,14:46:01
283,1900,2024-10-08,14:46:01
284,1900,2024-10-08,14:46:01
285,1880,2024-10-08,14:46:01
286,1840,2024-10-08,14:46:01
287,1660,2024-10-08,14:46:01
288,1400,2024-10-08,14:46:01
289,1220,2024-10-08,14:46:01
290,1160,2024-10-08,14:46:01
291,1260,2024-10-08,14:46:01
292,1600,2024-10-08,14:46:01
293,2020,2024-10-08,14:46:01
294,2320,2024-10-08,14:46:01
295,2480,2024-10-08,14:46:01
296,2520,2024-10-08,14:46:01
297,2480,2024-10-08,14:46:01
298,2440,2024-10-08,14:46:01
299,2420,2024-10-08,14:46:01
300,2360,2024-10-08,14:46:01
301,2300,2024-10-08,14:46:01
302,2220,2024-10-08,14:46:01
303,2100,2024-10-08,14:46:01
304,2020,2024-10-08,14:46:01
305,1940,2024-10-08,14:46:01
306,1900,2024-10-08,14:46:01
307,1840,2024-10-08,14:46:01
308,1840,2024-10-08,14:46:01
309,1840,2024-10-08,14:46:01
310,1840,2024-10-08,14:46:01
311,1820,2024-10-08,14:46:01
312,1820,2024-10-08,14:46:01
313,1820,2024-10-08,14:46:01
314,1840,2024-10-08,14:46:01
315,1860,2024-10-08,14:46:01
316,1920,2024-10-08,14:46:02
317,2020,2024-10-08,14:46:02
318,2180,2024-10-08,14:46:02
319,2400,2024-10-08,14:46:02
320,2600,2024-10-08,14:46:02
321,2740,2024-10-08,14:46:02
322,2740,2024-10-08,14:46:02
323,2620,2024-10-08,14:46:02
324,2340,2024-10-08,14:46:02
325,1980,2024-10-08,14:46:02
326,1580,2024-10-08,14:46:02
327,1200,2024-10-08,14:46:02
328,900,2024-10-08,14:46:02
329,780,2024-10-08,14:46:02
330,860,2024-10-08,14:46:02
331,1040,2024-10-08,14:46:02
332,1240,2024-10-08,14:46:02
333,1440,2024-10-08,14:46:02
334,1820,2024-10-08,14:46:02
335,2000,2024-10-08,14:46:02
336,2120,2024-10-08,14:46:02
337,2200,2024-10-08,14:46:02
338,2260,2024-10-08,14:46:02
339,2260,2024-10-08,14:46:02
340,2220,2024-10-08,14:46:02
341,2140,2024-10-08,14:46:02
342,2040,2024-10-08,14:46:02
343,1960,2024-10-08,14:46:02
344,1920,2024-10-08,14:46:02
345,1940,2024-10-08,14:46:02
346,2020,2024-10-08,14:46:02
347,2080,2024-10-08,14:46:02
348,2120,2024-10-08,14:46:02
349,2100,2024-10-08,14:46:02
350,2040,2024-10-08,14:46:02
351,1820,2024-10-08,14:46:02
352,1680,2024-10-08,14:46:02
353,1680,2024-10-08,14:46:02
354,1680,2024-10-08,14:46:02
355,1700,2024-10-08,14:46:02
356,1740,2024-10-08,14:46:02
357,1760,2024-10-08,14:46:02
358,1780,2024-10-08,14:46:02
359,1800,2024-10-08,14:46:02
360,1800,2024-10-08,14:46:02
361,1840,2024-10-08,14:46:02
362,1860,2024-10-08,14:46:02
363,1860,2024-10-08,14:46:02
364,1860,2024-10-08,14:46:02
365,1860,2024-10-08,14:46:02
366,1880,2024-10-08,14:46:02
367,1880,2024-10-08,14:46:02
368,1880,2024-10-08,14:46:02
369,1900,2024-10-08,14:46:02
370,1900,2024-10-08,14:46:02
371,1920,2024-10-08,14:46:02
372,1960,2024-10-08,14:46:02
373,1960,2024-10-08,14:46:02
374,1940,2024-10-08,14:46:02
375,1940,2024-10-08,14:46:02
376,1940,2024-10-08,14:46:02
377,1940,2024-10-08,14:46:02
378,1960,2024-10-08,14:46:02
379,1980,2024-10-08,14:46:02
380,2000,2024-10-08,14:46:02
381,2020,2024-10-08,14:46:02
382,2000,2024-10-08,14:46:02
383,2020,2024-10-08,14:46:02
384,2020,2024-10-08,14:46:02
385,2000,2024-10-08,14:46:02
386,1940,2024-10-08,14:46:02
387,1880,2024-10-08,14:46:02
388,1800,2024-10-08,14:46:02
389,1720,2024-10-08,14:46:02
390,1680,2024-10-08,14:46:02
391,1640,2024-10-08,14:46:02
392,1660,2024-10-08,14:46:02
393,1680,2024-10-08,14:46:02
394,1720,2024-10-08,14:46:02
395,1780,2024-10-08,14:46:02
396,1820,2024-10-08,14:46:02
