No.,APG Wave,Date,Time
0,1900,2024-10-08,14:52:50
1,1860,2024-10-08,14:52:50
2,1820,2024-10-08,14:52:50
3,1780,2024-10-08,14:52:50
4,1780,2024-10-08,14:52:50
5,1780,2024-10-08,14:52:50
6,1800,2024-10-08,14:52:50
7,1820,2024-10-08,14:52:50
8,1840,2024-10-08,14:52:50
9,1840,2024-10-08,14:52:50
10,1860,2024-10-08,14:52:50
11,1860,2024-10-08,14:52:50
12,1860,2024-10-08,14:52:50
13,1860,2024-10-08,14:52:50
14,1880,2024-10-08,14:52:50
15,1900,2024-10-08,14:52:50
16,1960,2024-10-08,14:52:50
17,2000,2024-10-08,14:52:50
18,2020,2024-10-08,14:52:50
19,2000,2024-10-08,14:52:50
20,1960,2024-10-08,14:52:50
21,1960,2024-10-08,14:52:50
22,1940,2024-10-08,14:52:50
23,1940,2024-10-08,14:52:50
24,1920,2024-10-08,14:52:50
25,1920,2024-10-08,14:52:50
26,1920,2024-10-08,14:52:50
27,1900,2024-10-08,14:52:50
28,1940,2024-10-08,14:52:50
29,2000,2024-10-08,14:52:50
30,2180,2024-10-08,14:52:50
31,2380,2024-10-08,14:52:50
32,2640,2024-10-08,14:52:50
33,2880,2024-10-08,14:52:50
34,3040,2024-10-08,14:52:50
35,3020,2024-10-08,14:52:51
36,2780,2024-10-08,14:52:51
37,2440,2024-10-08,14:52:51
38,2020,2024-10-08,14:52:51
39,1600,2024-10-08,14:52:51
40,1280,2024-10-08,14:52:51
41,1060,2024-10-08,14:52:51
42,960,2024-10-08,14:52:51
43,1000,2024-10-08,14:52:51
44,1280,2024-10-08,14:52:51
45,1400,2024-10-08,14:52:51
46,1540,2024-10-08,14:52:51
47,1640,2024-10-08,14:52:51
48,1760,2024-10-08,14:52:51
49,1800,2024-10-08,14:52:51
50,1800,2024-10-08,14:52:51
51,1780,2024-10-08,14:52:51
52,1780,2024-10-08,14:52:51
53,1760,2024-10-08,14:52:51
54,1760,2024-10-08,14:52:51
55,1800,2024-10-08,14:52:51
56,1860,2024-10-08,14:52:51
57,1900,2024-10-08,14:52:51
58,1960,2024-10-08,14:52:51
59,2020,2024-10-08,14:52:51
60,2060,2024-10-08,14:52:51
61,2080,2024-10-08,14:52:51
62,2060,2024-10-08,14:52:51
63,2060,2024-10-08,14:52:51
64,2000,2024-10-08,14:52:51
65,1940,2024-10-08,14:52:51
66,1900,2024-10-08,14:52:51
67,1840,2024-10-08,14:52:51
68,1800,2024-10-08,14:52:51
69,1780,2024-10-08,14:52:51
70,1780,2024-10-08,14:52:51
71,1800,2024-10-08,14:52:51
72,1820,2024-10-08,14:52:51
73,1840,2024-10-08,14:52:51
74,1860,2024-10-08,14:52:51
75,1900,2024-10-08,14:52:51
76,1900,2024-10-08,14:52:51
77,1920,2024-10-08,14:52:51
78,1940,2024-10-08,14:52:51
79,1940,2024-10-08,14:52:51
80,1940,2024-10-08,14:52:51
81,1960,2024-10-08,14:52:51
82,1940,2024-10-08,14:52:51
83,1960,2024-10-08,14:52:51
84,1940,2024-10-08,14:52:51
85,1960,2024-10-08,14:52:51
86,1940,2024-10-08,14:52:51
87,1940,2024-10-08,14:52:51
88,1920,2024-10-08,14:52:51
89,1900,2024-10-08,14:52:51
90,1900,2024-10-08,14:52:51
91,1900,2024-10-08,14:52:51
92,1900,2024-10-08,14:52:51
93,1920,2024-10-08,14:52:51
94,1980,2024-10-08,14:52:51
95,2100,2024-10-08,14:52:51
