No.,APG Wave,Date,Time
0,1100,2024-10-08,17:12:06
1,1280,2024-10-08,17:12:06
2,1420,2024-10-08,17:12:06
3,1580,2024-10-08,17:12:06
4,1700,2024-10-08,17:12:06
5,1820,2024-10-08,17:12:06
6,1900,2024-10-08,17:12:06
7,1940,2024-10-08,17:12:06
8,1940,2024-10-08,17:12:06
9,1920,2024-10-08,17:12:06
10,1860,2024-10-08,17:12:06
11,1840,2024-10-08,17:12:06
12,1800,2024-10-08,17:12:06
13,1840,2024-10-08,17:12:06
14,1880,2024-10-08,17:12:06
15,1940,2024-10-08,17:12:06
16,2000,2024-10-08,17:12:07
17,2040,2024-10-08,17:12:07
18,2080,2024-10-08,17:12:07
19,2080,2024-10-08,17:12:07
20,2040,2024-10-08,17:12:07
21,1960,2024-10-08,17:12:07
22,1900,2024-10-08,17:12:07
23,1860,2024-10-08,17:12:07
24,1780,2024-10-08,17:12:07
25,1740,2024-10-08,17:12:07
26,1720,2024-10-08,17:12:07
27,1720,2024-10-08,17:12:07
28,1740,2024-10-08,17:12:07
29,1740,2024-10-08,17:12:07
30,1780,2024-10-08,17:12:07
31,1820,2024-10-08,17:12:07
32,1860,2024-10-08,17:12:07
33,1880,2024-10-08,17:12:07
34,1900,2024-10-08,17:12:07
35,1960,2024-10-08,17:12:07
36,1980,2024-10-08,17:12:07
37,1980,2024-10-08,17:12:07
38,2000,2024-10-08,17:12:07
39,2020,2024-10-08,17:12:07
40,2040,2024-10-08,17:12:07
41,2100,2024-10-08,17:12:07
42,2120,2024-10-08,17:12:07
43,2080,2024-10-08,17:12:07
44,2000,2024-10-08,17:12:07
45,1900,2024-10-08,17:12:07
46,1780,2024-10-08,17:12:07
47,1780,2024-10-08,17:12:07
48,1800,2024-10-08,17:12:07
49,1840,2024-10-08,17:12:07
50,1860,2024-10-08,17:12:07
51,1860,2024-10-08,17:12:07
52,1880,2024-10-08,17:12:07
53,1880,2024-10-08,17:12:07
54,1880,2024-10-08,17:12:07
