No.,APG Wave,Date,Time
0,1740,2024-10-08,17:20:08
1,1800,2024-10-08,17:20:08
2,1840,2024-10-08,17:20:08
3,1880,2024-10-08,17:20:08
4,1940,2024-10-08,17:20:08
5,2020,2024-10-08,17:20:08
6,2080,2024-10-08,17:20:08
7,2120,2024-10-08,17:20:08
8,2120,2024-10-08,17:20:08
9,2120,2024-10-08,17:20:08
10,2080,2024-10-08,17:20:08
11,2020,2024-10-08,17:20:08
12,1960,2024-10-08,17:20:08
13,1900,2024-10-08,17:20:08
14,1840,2024-10-08,17:20:08
15,1800,2024-10-08,17:20:09
16,1760,2024-10-08,17:20:09
17,1760,2024-10-08,17:20:09
18,1760,2024-10-08,17:20:09
19,1780,2024-10-08,17:20:09
20,1820,2024-10-08,17:20:09
21,1840,2024-10-08,17:20:09
22,1860,2024-10-08,17:20:09
23,1880,2024-10-08,17:20:09
24,1880,2024-10-08,17:20:09
25,1920,2024-10-08,17:20:09
26,1940,2024-10-08,17:20:09
27,1940,2024-10-08,17:20:09
28,1940,2024-10-08,17:20:09
29,1940,2024-10-08,17:20:09
30,1940,2024-10-08,17:20:09
31,1940,2024-10-08,17:20:09
32,1960,2024-10-08,17:20:09
33,1940,2024-10-08,17:20:09
34,1940,2024-10-08,17:20:09
35,1940,2024-10-08,17:20:09
36,1940,2024-10-08,17:20:09
37,1920,2024-10-08,17:20:09
38,1920,2024-10-08,17:20:09
39,1900,2024-10-08,17:20:09
40,1900,2024-10-08,17:20:09
41,1880,2024-10-08,17:20:09
42,1880,2024-10-08,17:20:09
43,1880,2024-10-08,17:20:09
44,1880,2024-10-08,17:20:09
45,1920,2024-10-08,17:20:09
46,2000,2024-10-08,17:20:09
47,2160,2024-10-08,17:20:09
48,2340,2024-10-08,17:20:09
49,2580,2024-10-08,17:20:09
50,2800,2024-10-08,17:20:09
51,2920,2024-10-08,17:20:09
52,2880,2024-10-08,17:20:09
53,2320,2024-10-08,17:20:09
54,1920,2024-10-08,17:20:09
55,1560,2024-10-08,17:20:09
56,1260,2024-10-08,17:20:09
57,1080,2024-10-08,17:20:09
58,1040,2024-10-08,17:20:09
59,1080,2024-10-08,17:20:09
60,1200,2024-10-08,17:20:09
61,1300,2024-10-08,17:20:09
62,1420,2024-10-08,17:20:09
63,1520,2024-10-08,17:20:09
64,1600,2024-10-08,17:20:09
65,1680,2024-10-08,17:20:09
66,1760,2024-10-08,17:20:09
67,1800,2024-10-08,17:20:09
68,1860,2024-10-08,17:20:09
69,1920,2024-10-08,17:20:09
70,2000,2024-10-08,17:20:09
71,2060,2024-10-08,17:20:09
72,2120,2024-10-08,17:20:09
73,2140,2024-10-08,17:20:09
74,2160,2024-10-08,17:20:09
75,2120,2024-10-08,17:20:09
76,2080,2024-10-08,17:20:09
77,2040,2024-10-08,17:20:09
78,1940,2024-10-08,17:20:09
79,1880,2024-10-08,17:20:09
80,1820,2024-10-08,17:20:09
81,1780,2024-10-08,17:20:09
82,1760,2024-10-08,17:20:09
83,1740,2024-10-08,17:20:09
84,1740,2024-10-08,17:20:09
85,1760,2024-10-08,17:20:09
86,1800,2024-10-08,17:20:09
87,1820,2024-10-08,17:20:09
88,1840,2024-10-08,17:20:09
89,1880,2024-10-08,17:20:09
90,1880,2024-10-08,17:20:09
91,1900,2024-10-08,17:20:09
92,1920,2024-10-08,17:20:09
93,1920,2024-10-08,17:20:09
94,1920,2024-10-08,17:20:09
95,1940,2024-10-08,17:20:09
96,1960,2024-10-08,17:20:09
97,1940,2024-10-08,17:20:09
98,1940,2024-10-08,17:20:09
99,1960,2024-10-08,17:20:09
100,1940,2024-10-08,17:20:09
101,1940,2024-10-08,17:20:09
102,1920,2024-10-08,17:20:09
103,1900,2024-10-08,17:20:09
104,1900,2024-10-08,17:20:09
105,1900,2024-10-08,17:20:09
106,1880,2024-10-08,17:20:09
107,1880,2024-10-08,17:20:09
108,1900,2024-10-08,17:20:09
109,1900,2024-10-08,17:20:09
