No.,APG Wave,Date,Time
0,1920,2024-10-08,17:26:01
1,2000,2024-10-08,17:26:01
2,2140,2024-10-08,17:26:01
3,2380,2024-10-08,17:26:01
4,2660,2024-10-08,17:26:01
5,2940,2024-10-08,17:26:01
6,3240,2024-10-08,17:26:01
7,3400,2024-10-08,17:26:01
8,3340,2024-10-08,17:26:01
9,3120,2024-10-08,17:26:01
10,2740,2024-10-08,17:26:01
11,2180,2024-10-08,17:26:01
12,1520,2024-10-08,17:26:01
13,900,2024-10-08,17:26:01
14,500,2024-10-08,17:26:01
15,240,2024-10-08,17:26:01
16,240,2024-10-08,17:26:01
17,440,2024-10-08,17:26:01
18,700,2024-10-08,17:26:01
19,980,2024-10-08,17:26:01
20,1260,2024-10-08,17:26:01
21,1540,2024-10-08,17:26:01
22,1740,2024-10-08,17:26:01
23,1880,2024-10-08,17:26:01
24,1980,2024-10-08,17:26:01
25,2020,2024-10-08,17:26:01
26,2060,2024-10-08,17:26:01
27,2100,2024-10-08,17:26:01
28,2140,2024-10-08,17:26:01
29,2180,2024-10-08,17:26:01
30,2240,2024-10-08,17:26:01
31,2300,2024-10-08,17:26:01
32,2320,2024-10-08,17:26:01
33,2280,2024-10-08,17:26:01
34,2200,2024-10-08,17:26:01
35,2100,2024-10-08,17:26:01
36,1980,2024-10-08,17:26:01
37,1880,2024-10-08,17:26:01
38,1780,2024-10-08,17:26:01
39,1700,2024-10-08,17:26:01
40,1660,2024-10-08,17:26:01
41,1660,2024-10-08,17:26:01
42,1700,2024-10-08,17:26:01
43,1740,2024-10-08,17:26:01
44,1800,2024-10-08,17:26:01
45,1840,2024-10-08,17:26:01
46,1860,2024-10-08,17:26:01
47,1860,2024-10-08,17:26:01
48,1880,2024-10-08,17:26:01
49,1840,2024-10-08,17:26:01
50,1840,2024-10-08,17:26:01
51,1840,2024-10-08,17:26:01
52,1840,2024-10-08,17:26:01
53,1860,2024-10-08,17:26:01
54,1900,2024-10-08,17:26:01
55,1920,2024-10-08,17:26:01
56,1940,2024-10-08,17:26:01
57,1940,2024-10-08,17:26:01
58,1960,2024-10-08,17:26:01
59,2000,2024-10-08,17:26:01
60,2120,2024-10-08,17:26:01
61,2320,2024-10-08,17:26:01
62,2600,2024-10-08,17:26:01
63,2920,2024-10-08,17:26:01
64,3240,2024-10-08,17:26:01
65,3420,2024-10-08,17:26:01
66,3420,2024-10-08,17:26:01
67,3220,2024-10-08,17:26:01
68,2820,2024-10-08,17:26:01
69,2260,2024-10-08,17:26:01
70,1600,2024-10-08,17:26:01
71,960,2024-10-08,17:26:01
72,560,2024-10-08,17:26:01
73,300,2024-10-08,17:26:01
74,240,2024-10-08,17:26:01
75,420,2024-10-08,17:26:01
76,660,2024-10-08,17:26:01
77,940,2024-10-08,17:26:01
78,1200,2024-10-08,17:26:01
79,1440,2024-10-08,17:26:01
80,1640,2024-10-08,17:26:01
81,1780,2024-10-08,17:26:01
82,1860,2024-10-08,17:26:01
83,1920,2024-10-08,17:26:01
84,1940,2024-10-08,17:26:01
85,1960,2024-10-08,17:26:02
86,1980,2024-10-08,17:26:02
87,2060,2024-10-08,17:26:02
88,2140,2024-10-08,17:26:02
89,2220,2024-10-08,17:26:02
90,2280,2024-10-08,17:26:02
91,2300,2024-10-08,17:26:02
92,2280,2024-10-08,17:26:02
93,2220,2024-10-08,17:26:02
94,2020,2024-10-08,17:26:02
95,1900,2024-10-08,17:26:02
96,1820,2024-10-08,17:26:02
97,1760,2024-10-08,17:26:02
98,1740,2024-10-08,17:26:02
99,1720,2024-10-08,17:26:02
100,1740,2024-10-08,17:26:02
101,1760,2024-10-08,17:26:02
102,1800,2024-10-08,17:26:02
103,1820,2024-10-08,17:26:02
104,1820,2024-10-08,17:26:02
105,1840,2024-10-08,17:26:02
106,1860,2024-10-08,17:26:02
107,1880,2024-10-08,17:26:02
108,1900,2024-10-08,17:26:02
109,1920,2024-10-08,17:26:02
110,1920,2024-10-08,17:26:02
111,1940,2024-10-08,17:26:02
112,1920,2024-10-08,17:26:02
113,1920,2024-10-08,17:26:02
114,1920,2024-10-08,17:26:02
115,1980,2024-10-08,17:26:02
116,2080,2024-10-08,17:26:02
117,2280,2024-10-08,17:26:02
118,2540,2024-10-08,17:26:02
119,2840,2024-10-08,17:26:02
120,3200,2024-10-08,17:26:02
121,3460,2024-10-08,17:26:02
122,3500,2024-10-08,17:26:02
123,3340,2024-10-08,17:26:02
124,2980,2024-10-08,17:26:02
125,2420,2024-10-08,17:26:02
126,1700,2024-10-08,17:26:02
127,1040,2024-10-08,17:26:02
128,600,2024-10-08,17:26:02
129,340,2024-10-08,17:26:02
130,260,2024-10-08,17:26:02
131,360,2024-10-08,17:26:02
132,620,2024-10-08,17:26:02
133,900,2024-10-08,17:26:02
134,1180,2024-10-08,17:26:02
135,1420,2024-10-08,17:26:02
136,1600,2024-10-08,17:26:02
137,1800,2024-10-08,17:26:02
138,1840,2024-10-08,17:26:02
139,1840,2024-10-08,17:26:02
140,1900,2024-10-08,17:26:02
141,1940,2024-10-08,17:26:02
142,2000,2024-10-08,17:26:02
143,2120,2024-10-08,17:26:02
144,2220,2024-10-08,17:26:02
145,2280,2024-10-08,17:26:02
146,2300,2024-10-08,17:26:02
147,2280,2024-10-08,17:26:02
148,2240,2024-10-08,17:26:02
149,2140,2024-10-08,17:26:02
150,1940,2024-10-08,17:26:02
151,1840,2024-10-08,17:26:02
152,1760,2024-10-08,17:26:02
153,1700,2024-10-08,17:26:02
154,1680,2024-10-08,17:26:02
155,1680,2024-10-08,17:26:02
156,1720,2024-10-08,17:26:02
157,1760,2024-10-08,17:26:02
158,1800,2024-10-08,17:26:02
159,1820,2024-10-08,17:26:02
160,1880,2024-10-08,17:26:02
161,1880,2024-10-08,17:26:02
162,1920,2024-10-08,17:26:02
163,1920,2024-10-08,17:26:02
164,1920,2024-10-08,17:26:02
165,1940,2024-10-08,17:26:02
166,1940,2024-10-08,17:26:02
167,1960,2024-10-08,17:26:02
168,1980,2024-10-08,17:26:02
169,1960,2024-10-08,17:26:02
170,1940,2024-10-08,17:26:02
171,1920,2024-10-08,17:26:02
172,1900,2024-10-08,17:26:02
173,1900,2024-10-08,17:26:02
174,1920,2024-10-08,17:26:02
175,1980,2024-10-08,17:26:02
176,2160,2024-10-08,17:26:02
177,2440,2024-10-08,17:26:02
178,2740,2024-10-08,17:26:02
179,3120,2024-10-08,17:26:02
180,3460,2024-10-08,17:26:02
181,3580,2024-10-08,17:26:02
182,3460,2024-10-08,17:26:02
183,3180,2024-10-08,17:26:03
184,2700,2024-10-08,17:26:03
185,2000,2024-10-08,17:26:03
186,1300,2024-10-08,17:26:03
