No.,APG Wave,Date,Time
0,1940,2024-10-09,21:39:54
1,1960,2024-10-09,21:39:54
2,1920,2024-10-09,21:39:54
3,1900,2024-10-09,21:39:54
4,1920,2024-10-09,21:39:54
5,1900,2024-10-09,21:39:54
6,1880,2024-10-09,21:39:54
7,1880,2024-10-09,21:39:54
8,1880,2024-10-09,21:39:54
9,1880,2024-10-09,21:39:54
10,1880,2024-10-09,21:39:54
11,1900,2024-10-09,21:39:54
12,1880,2024-10-09,21:39:54
13,1920,2024-10-09,21:39:54
14,1920,2024-10-09,21:39:54
15,1940,2024-10-09,21:39:54
16,1920,2024-10-09,21:39:54
17,1900,2024-10-09,21:39:54
18,1900,2024-10-09,21:39:54
19,1880,2024-10-09,21:39:54
20,1900,2024-10-09,21:39:54
21,1880,2024-10-09,21:39:54
22,1900,2024-10-09,21:39:54
23,1900,2024-10-09,21:39:54
24,1900,2024-10-09,21:39:54
25,1900,2024-10-09,21:39:54
26,1900,2024-10-09,21:39:54
27,1880,2024-10-09,21:39:54
28,1900,2024-10-09,21:39:54
29,1900,2024-10-09,21:39:54
30,1880,2024-10-09,21:39:54
31,1900,2024-10-09,21:39:54
32,1900,2024-10-09,21:39:54
33,1900,2024-10-09,21:39:54
34,1880,2024-10-09,21:39:54
35,1900,2024-10-09,21:39:54
36,1940,2024-10-09,21:39:54
37,1960,2024-10-09,21:39:54
38,2060,2024-10-09,21:39:54
39,2200,2024-10-09,21:39:54
40,2420,2024-10-09,21:39:54
41,2720,2024-10-09,21:39:54
42,2960,2024-10-09,21:39:54
43,3020,2024-10-09,21:39:54
44,2880,2024-10-09,21:39:54
45,2560,2024-10-09,21:39:54
46,2120,2024-10-09,21:39:54
47,1640,2024-10-09,21:39:54
48,1220,2024-10-09,21:39:54
49,960,2024-10-09,21:39:54
50,800,2024-10-09,21:39:54
51,820,2024-10-09,21:39:54
52,980,2024-10-09,21:39:54
53,1160,2024-10-09,21:39:54
54,1360,2024-10-09,21:39:54
55,1560,2024-10-09,21:39:54
56,1740,2024-10-09,21:39:54
57,1940,2024-10-09,21:39:54
58,2080,2024-10-09,21:39:54
59,2160,2024-10-09,21:39:54
60,2200,2024-10-09,21:39:54
61,2160,2024-10-09,21:39:54
62,2100,2024-10-09,21:39:54
63,1980,2024-10-09,21:39:54
64,1840,2024-10-09,21:39:54
65,1720,2024-10-09,21:39:54
66,1620,2024-10-09,21:39:54
67,1560,2024-10-09,21:39:54
68,1560,2024-10-09,21:39:54
69,1620,2024-10-09,21:39:54
70,1700,2024-10-09,21:39:54
71,1820,2024-10-09,21:39:54
72,1920,2024-10-09,21:39:54
73,2000,2024-10-09,21:39:54
74,2060,2024-10-09,21:39:54
75,2120,2024-10-09,21:39:54
76,2120,2024-10-09,21:39:54
77,2120,2024-10-09,21:39:54
78,2080,2024-10-09,21:39:54
79,2000,2024-10-09,21:39:54
80,1940,2024-10-09,21:39:54
81,1880,2024-10-09,21:39:54
82,1840,2024-10-09,21:39:54
83,1820,2024-10-09,21:39:54
84,1800,2024-10-09,21:39:54
85,1800,2024-10-09,21:39:54
86,1820,2024-10-09,21:39:54
87,1840,2024-10-09,21:39:54
88,1860,2024-10-09,21:39:54
89,1920,2024-10-09,21:39:54
90,1940,2024-10-09,21:39:55
91,1920,2024-10-09,21:39:55
92,1900,2024-10-09,21:39:55
93,1900,2024-10-09,21:39:55
94,1900,2024-10-09,21:39:55
95,1920,2024-10-09,21:39:55
96,1940,2024-10-09,21:39:55
97,1960,2024-10-09,21:39:55
98,1940,2024-10-09,21:39:55
99,1940,2024-10-09,21:39:55
100,1920,2024-10-09,21:39:55
101,1900,2024-10-09,21:39:55
102,1900,2024-10-09,21:39:55
103,1880,2024-10-09,21:39:55
104,1880,2024-10-09,21:39:55
105,1880,2024-10-09,21:39:55
106,1880,2024-10-09,21:39:55
107,1880,2024-10-09,21:39:55
108,1860,2024-10-09,21:39:55
109,1860,2024-10-09,21:39:55
110,1880,2024-10-09,21:39:55
111,1900,2024-10-09,21:39:55
112,1900,2024-10-09,21:39:55
113,1920,2024-10-09,21:39:55
114,1920,2024-10-09,21:39:55
115,1940,2024-10-09,21:39:55
116,1940,2024-10-09,21:39:55
117,1920,2024-10-09,21:39:55
118,1900,2024-10-09,21:39:55
119,1900,2024-10-09,21:39:55
120,1900,2024-10-09,21:39:55
121,1900,2024-10-09,21:39:55
122,1920,2024-10-09,21:39:55
123,1920,2024-10-09,21:39:55
124,1920,2024-10-09,21:39:55
125,1900,2024-10-09,21:39:55
126,1900,2024-10-09,21:39:55
127,1880,2024-10-09,21:39:55
128,1880,2024-10-09,21:39:55
129,1900,2024-10-09,21:39:55
130,1900,2024-10-09,21:39:55
131,1920,2024-10-09,21:39:55
132,1920,2024-10-09,21:39:55
133,1940,2024-10-09,21:39:55
134,1940,2024-10-09,21:39:55
135,1920,2024-10-09,21:39:55
136,1880,2024-10-09,21:39:55
137,1860,2024-10-09,21:39:55
138,1880,2024-10-09,21:39:55
139,1880,2024-10-09,21:39:55
140,1920,2024-10-09,21:39:55
141,1920,2024-10-09,21:39:55
142,1920,2024-10-09,21:39:55
143,1900,2024-10-09,21:39:55
144,1860,2024-10-09,21:39:55
145,1880,2024-10-09,21:39:55
146,1900,2024-10-09,21:39:55
147,1920,2024-10-09,21:39:55
148,1920,2024-10-09,21:39:55
149,1920,2024-10-09,21:39:55
150,1920,2024-10-09,21:39:55
151,1940,2024-10-09,21:39:55
152,1940,2024-10-09,21:39:55
153,1920,2024-10-09,21:39:55
154,1920,2024-10-09,21:39:55
155,1900,2024-10-09,21:39:55
156,1920,2024-10-09,21:39:55
157,1920,2024-10-09,21:39:55
158,1920,2024-10-09,21:39:55
159,1920,2024-10-09,21:39:55
160,1880,2024-10-09,21:39:55
161,1860,2024-10-09,21:39:55
162,1840,2024-10-09,21:39:55
163,1860,2024-10-09,21:39:55
164,1880,2024-10-09,21:39:55
165,1980,2024-10-09,21:39:55
166,2160,2024-10-09,21:39:55
167,2420,2024-10-09,21:39:55
168,2740,2024-10-09,21:39:55
169,3020,2024-10-09,21:39:55
170,3120,2024-10-09,21:39:55
171,2980,2024-10-09,21:39:55
172,2640,2024-10-09,21:39:55
173,2160,2024-10-09,21:39:55
174,1640,2024-10-09,21:39:55
175,1180,2024-10-09,21:39:55
176,900,2024-10-09,21:39:55
177,760,2024-10-09,21:39:55
178,800,2024-10-09,21:39:55
179,940,2024-10-09,21:39:55
180,1140,2024-10-09,21:39:55
181,1340,2024-10-09,21:39:55
182,1560,2024-10-09,21:39:56
183,1780,2024-10-09,21:39:56
184,1980,2024-10-09,21:39:56
185,2100,2024-10-09,21:39:56
186,2180,2024-10-09,21:39:56
187,2180,2024-10-09,21:39:56
188,2160,2024-10-09,21:39:56
189,2080,2024-10-09,21:39:56
190,1980,2024-10-09,21:39:56
191,1860,2024-10-09,21:39:56
192,1740,2024-10-09,21:39:56
193,1660,2024-10-09,21:39:56
194,1560,2024-10-09,21:39:56
195,1540,2024-10-09,21:39:56
196,1580,2024-10-09,21:39:56
197,1660,2024-10-09,21:39:56
198,1740,2024-10-09,21:39:56
199,1860,2024-10-09,21:39:56
200,1980,2024-10-09,21:39:56
201,2080,2024-10-09,21:39:56
202,2140,2024-10-09,21:39:56
203,2160,2024-10-09,21:39:56
204,2140,2024-10-09,21:39:56
205,2080,2024-10-09,21:39:56
206,2020,2024-10-09,21:39:56
207,1940,2024-10-09,21:39:56
208,1880,2024-10-09,21:39:56
209,1840,2024-10-09,21:39:56
210,1800,2024-10-09,21:39:56
211,1820,2024-10-09,21:39:56
212,1820,2024-10-09,21:39:56
213,1820,2024-10-09,21:39:56
214,1820,2024-10-09,21:39:56
215,1840,2024-10-09,21:39:56
216,1860,2024-10-09,21:39:56
217,1900,2024-10-09,21:39:56
218,1920,2024-10-09,21:39:56
219,1940,2024-10-09,21:39:56
220,1960,2024-10-09,21:39:56
221,1940,2024-10-09,21:39:56
222,1940,2024-10-09,21:39:56
223,1940,2024-10-09,21:39:56
224,1960,2024-10-09,21:39:56
225,1920,2024-10-09,21:39:56
226,1900,2024-10-09,21:39:56
227,1920,2024-10-09,21:39:56
228,1920,2024-10-09,21:39:56
229,1940,2024-10-09,21:39:56
230,1940,2024-10-09,21:39:56
231,1920,2024-10-09,21:39:56
232,1900,2024-10-09,21:39:56
233,1880,2024-10-09,21:39:56
234,1880,2024-10-09,21:39:56
235,1860,2024-10-09,21:39:56
236,1880,2024-10-09,21:39:56
237,1880,2024-10-09,21:39:56
238,1880,2024-10-09,21:39:56
239,1900,2024-10-09,21:39:56
240,1900,2024-10-09,21:39:56
241,1900,2024-10-09,21:39:56
242,1880,2024-10-09,21:39:56
243,1860,2024-10-09,21:39:56
244,1860,2024-10-09,21:39:56
245,1880,2024-10-09,21:39:56
246,1900,2024-10-09,21:39:56
247,1940,2024-10-09,21:39:56
248,1960,2024-10-09,21:39:56
249,1960,2024-10-09,21:39:56
250,1940,2024-10-09,21:39:56
251,1940,2024-10-09,21:39:56
252,1900,2024-10-09,21:39:56
253,1900,2024-10-09,21:39:56
254,1900,2024-10-09,21:39:56
255,1900,2024-10-09,21:39:56
256,1880,2024-10-09,21:39:56
257,1880,2024-10-09,21:39:56
258,1880,2024-10-09,21:39:56
259,1900,2024-10-09,21:39:56
260,1940,2024-10-09,21:39:56
261,1940,2024-10-09,21:39:56
262,1940,2024-10-09,21:39:56
263,1920,2024-10-09,21:39:56
264,1900,2024-10-09,21:39:56
265,1880,2024-10-09,21:39:56
266,1880,2024-10-09,21:39:56
267,1880,2024-10-09,21:39:56
268,1880,2024-10-09,21:39:56
269,1900,2024-10-09,21:39:56
270,1880,2024-10-09,21:39:56
271,1900,2024-10-09,21:39:56
272,1900,2024-10-09,21:39:56
273,1920,2024-10-09,21:39:56
274,1920,2024-10-09,21:39:56
275,1920,2024-10-09,21:39:56
276,1940,2024-10-09,21:39:56
277,1940,2024-10-09,21:39:56
278,1940,2024-10-09,21:39:56
279,1920,2024-10-09,21:39:56
280,1880,2024-10-09,21:39:56
281,1860,2024-10-09,21:39:56
282,1860,2024-10-09,21:39:56
283,1920,2024-10-09,21:39:56
284,1940,2024-10-09,21:39:56
285,1900,2024-10-09,21:39:57
286,1880,2024-10-09,21:39:57
287,1880,2024-10-09,21:39:57
288,1920,2024-10-09,21:39:57
289,2020,2024-10-09,21:39:57
290,2220,2024-10-09,21:39:57
291,2480,2024-10-09,21:39:57
292,2760,2024-10-09,21:39:57
293,2980,2024-10-09,21:39:57
294,3020,2024-10-09,21:39:57
295,2840,2024-10-09,21:39:57
296,2520,2024-10-09,21:39:57
297,2080,2024-10-09,21:39:57
298,1620,2024-10-09,21:39:57
299,1220,2024-10-09,21:39:57
300,940,2024-10-09,21:39:57
301,820,2024-10-09,21:39:57
302,860,2024-10-09,21:39:57
303,1000,2024-10-09,21:39:57
304,1200,2024-10-09,21:39:57
305,1640,2024-10-09,21:39:57
306,1860,2024-10-09,21:39:57
307,2000,2024-10-09,21:39:57
308,2100,2024-10-09,21:39:57
309,2140,2024-10-09,21:39:57
310,2120,2024-10-09,21:39:57
311,2080,2024-10-09,21:39:57
312,2020,2024-10-09,21:39:57
313,1960,2024-10-09,21:39:57
314,1860,2024-10-09,21:39:57
315,1760,2024-10-09,21:39:57
316,1660,2024-10-09,21:39:57
317,1600,2024-10-09,21:39:57
318,1580,2024-10-09,21:39:57
319,1640,2024-10-09,21:39:57
320,1720,2024-10-09,21:39:57
321,1820,2024-10-09,21:39:57
322,1940,2024-10-09,21:39:57
323,2040,2024-10-09,21:39:57
324,2080,2024-10-09,21:39:57
325,2100,2024-10-09,21:39:57
326,2080,2024-10-09,21:39:57
327,2040,2024-10-09,21:39:57
328,2000,2024-10-09,21:39:57
329,1980,2024-10-09,21:39:57
330,1940,2024-10-09,21:39:57
331,1900,2024-10-09,21:39:57
332,1860,2024-10-09,21:39:57
333,1820,2024-10-09,21:39:57
334,1800,2024-10-09,21:39:57
335,1800,2024-10-09,21:39:57
336,1760,2024-10-09,21:39:57
337,1800,2024-10-09,21:39:57
338,1840,2024-10-09,21:39:57
339,1880,2024-10-09,21:39:57
340,1960,2024-10-09,21:39:57
341,1980,2024-10-09,21:39:57
342,1980,2024-10-09,21:39:57
343,1980,2024-10-09,21:39:57
344,1960,2024-10-09,21:39:57
345,1920,2024-10-09,21:39:57
346,1920,2024-10-09,21:39:57
347,1900,2024-10-09,21:39:57
348,1900,2024-10-09,21:39:57
349,1920,2024-10-09,21:39:57
350,1940,2024-10-09,21:39:57
351,1940,2024-10-09,21:39:57
352,1940,2024-10-09,21:39:57
353,1940,2024-10-09,21:39:57
354,1920,2024-10-09,21:39:57
355,1900,2024-10-09,21:39:57
356,1860,2024-10-09,21:39:57
357,1820,2024-10-09,21:39:57
358,1840,2024-10-09,21:39:57
359,1820,2024-10-09,21:39:57
360,1840,2024-10-09,21:39:57
361,1860,2024-10-09,21:39:57
362,1900,2024-10-09,21:39:57
363,1920,2024-10-09,21:39:57
364,1940,2024-10-09,21:39:57
365,1960,2024-10-09,21:39:57
366,1920,2024-10-09,21:39:57
367,1900,2024-10-09,21:39:57
368,1900,2024-10-09,21:39:57
369,1880,2024-10-09,21:39:57
370,1900,2024-10-09,21:39:57
371,1920,2024-10-09,21:39:57
372,1920,2024-10-09,21:39:57
373,1920,2024-10-09,21:39:57
374,1920,2024-10-09,21:39:57
375,1940,2024-10-09,21:39:57
376,1920,2024-10-09,21:39:57
377,1920,2024-10-09,21:39:57
378,1900,2024-10-09,21:39:58
379,1920,2024-10-09,21:39:58
380,1900,2024-10-09,21:39:58
381,1880,2024-10-09,21:39:58
382,1900,2024-10-09,21:39:58
383,1920,2024-10-09,21:39:58
384,1900,2024-10-09,21:39:58
385,1900,2024-10-09,21:39:58
386,1920,2024-10-09,21:39:58
387,1900,2024-10-09,21:39:58
388,1900,2024-10-09,21:39:58
389,1900,2024-10-09,21:39:58
390,1880,2024-10-09,21:39:58
391,1880,2024-10-09,21:39:58
392,1860,2024-10-09,21:39:58
393,1880,2024-10-09,21:39:58
394,1900,2024-10-09,21:39:58
395,1920,2024-10-09,21:39:58
396,1900,2024-10-09,21:39:58
397,1920,2024-10-09,21:39:58
398,1960,2024-10-09,21:39:58
399,1940,2024-10-09,21:39:58
400,1960,2024-10-09,21:39:58
401,1960,2024-10-09,21:39:58
402,1940,2024-10-09,21:39:58
403,1920,2024-10-09,21:39:58
404,1880,2024-10-09,21:39:58
405,1860,2024-10-09,21:39:58
406,1860,2024-10-09,21:39:58
407,1860,2024-10-09,21:39:58
408,1880,2024-10-09,21:39:58
409,1880,2024-10-09,21:39:58
410,1920,2024-10-09,21:39:58
411,1900,2024-10-09,21:39:58
412,1880,2024-10-09,21:39:58
413,1860,2024-10-09,21:39:58
414,1900,2024-10-09,21:39:58
415,1960,2024-10-09,21:39:58
416,2120,2024-10-09,21:39:58
417,2380,2024-10-09,21:39:58
418,2680,2024-10-09,21:39:58
419,2980,2024-10-09,21:39:58
420,3140,2024-10-09,21:39:58
421,3100,2024-10-09,21:39:58
422,2820,2024-10-09,21:39:58
423,2400,2024-10-09,21:39:58
424,1860,2024-10-09,21:39:58
425,1380,2024-10-09,21:39:58
426,980,2024-10-09,21:39:58
427,740,2024-10-09,21:39:58
428,680,2024-10-09,21:39:58
429,800,2024-10-09,21:39:58
430,1020,2024-10-09,21:39:58
431,1300,2024-10-09,21:39:58
432,1540,2024-10-09,21:39:58
433,1780,2024-10-09,21:39:58
434,1960,2024-10-09,21:39:58
435,2080,2024-10-09,21:39:58
436,2140,2024-10-09,21:39:58
437,2160,2024-10-09,21:39:58
438,2140,2024-10-09,21:39:58
439,2080,2024-10-09,21:39:58
440,2000,2024-10-09,21:39:58
441,1880,2024-10-09,21:39:58
442,1780,2024-10-09,21:39:58
443,1680,2024-10-09,21:39:58
