No.,APG Wave,Date,Time
0,2100,2024-10-10,16:07:50
1,2100,2024-10-10,16:07:50
2,2080,2024-10-10,16:07:50
3,2040,2024-10-10,16:07:50
4,1980,2024-10-10,16:07:50
5,1920,2024-10-10,16:07:50
6,1860,2024-10-10,16:07:50
7,1800,2024-10-10,16:07:50
8,1780,2024-10-10,16:07:50
9,1780,2024-10-10,16:07:50
10,1780,2024-10-10,16:07:50
11,1800,2024-10-10,16:07:50
12,1800,2024-10-10,16:07:50
13,1820,2024-10-10,16:07:50
14,1840,2024-10-10,16:07:50
15,1880,2024-10-10,16:07:50
16,1900,2024-10-10,16:07:50
17,1900,2024-10-10,16:07:50
18,1900,2024-10-10,16:07:50
19,1920,2024-10-10,16:07:50
20,1920,2024-10-10,16:07:50
21,1920,2024-10-10,16:07:50
22,1920,2024-10-10,16:07:50
23,1940,2024-10-10,16:07:50
24,1920,2024-10-10,16:07:50
25,1920,2024-10-10,16:07:50
26,1920,2024-10-10,16:07:50
27,1920,2024-10-10,16:07:50
28,1940,2024-10-10,16:07:50
29,1940,2024-10-10,16:07:50
30,1920,2024-10-10,16:07:50
31,1940,2024-10-10,16:07:50
32,1940,2024-10-10,16:07:50
33,1940,2024-10-10,16:07:50
34,1920,2024-10-10,16:07:50
35,1920,2024-10-10,16:07:50
36,1920,2024-10-10,16:07:50
37,1900,2024-10-10,16:07:50
38,1920,2024-10-10,16:07:51
39,1900,2024-10-10,16:07:51
40,1900,2024-10-10,16:07:51
41,1900,2024-10-10,16:07:51
42,1900,2024-10-10,16:07:51
43,1900,2024-10-10,16:07:51
44,1900,2024-10-10,16:07:51
45,1900,2024-10-10,16:07:51
46,1900,2024-10-10,16:07:51
47,1900,2024-10-10,16:07:51
48,1900,2024-10-10,16:07:51
49,1900,2024-10-10,16:07:51
50,1880,2024-10-10,16:07:51
51,1880,2024-10-10,16:07:51
52,1880,2024-10-10,16:07:51
53,1880,2024-10-10,16:07:51
54,1880,2024-10-10,16:07:51
55,1880,2024-10-10,16:07:51
56,1880,2024-10-10,16:07:51
57,1880,2024-10-10,16:07:51
58,1920,2024-10-10,16:07:51
59,1960,2024-10-10,16:07:51
60,2060,2024-10-10,16:07:51
61,2220,2024-10-10,16:07:51
62,2460,2024-10-10,16:07:51
63,2700,2024-10-10,16:07:51
64,2920,2024-10-10,16:07:51
65,2980,2024-10-10,16:07:51
66,2880,2024-10-10,16:07:51
67,2600,2024-10-10,16:07:51
68,2200,2024-10-10,16:07:51
69,1800,2024-10-10,16:07:51
70,1420,2024-10-10,16:07:51
71,1100,2024-10-10,16:07:51
72,920,2024-10-10,16:07:51
73,880,2024-10-10,16:07:51
74,960,2024-10-10,16:07:51
75,1080,2024-10-10,16:07:51
76,1260,2024-10-10,16:07:51
77,1440,2024-10-10,16:07:51
78,1600,2024-10-10,16:07:51
79,1780,2024-10-10,16:07:51
80,1920,2024-10-10,16:07:51
81,2020,2024-10-10,16:07:51
82,2060,2024-10-10,16:07:51
83,2080,2024-10-10,16:07:51
84,2060,2024-10-10,16:07:51
85,2000,2024-10-10,16:07:51
86,1920,2024-10-10,16:07:51
