No.,APG Wave,Date,Time
0,1820,2024-10-10,16:24:51
1,2060,2024-10-10,16:24:51
2,2180,2024-10-10,16:24:51
3,2240,2024-10-10,16:24:51
4,2200,2024-10-10,16:24:51
5,2080,2024-10-10,16:24:51
6,1940,2024-10-10,16:24:51
7,1800,2024-10-10,16:24:51
8,1740,2024-10-10,16:24:51
9,1700,2024-10-10,16:24:51
10,1760,2024-10-10,16:24:51
11,1880,2024-10-10,16:24:51
12,2020,2024-10-10,16:24:51
13,2120,2024-10-10,16:24:51
14,2200,2024-10-10,16:24:51
15,2220,2024-10-10,16:24:51
16,2140,2024-10-10,16:24:51
17,2040,2024-10-10,16:24:51
18,1960,2024-10-10,16:24:51
19,1880,2024-10-10,16:24:51
20,1820,2024-10-10,16:24:51
21,1800,2024-10-10,16:24:51
22,1800,2024-10-10,16:24:51
23,1800,2024-10-10,16:24:51
24,1780,2024-10-10,16:24:51
25,1780,2024-10-10,16:24:51
26,1780,2024-10-10,16:24:51
27,1740,2024-10-10,16:24:51
28,1720,2024-10-10,16:24:51
29,1720,2024-10-10,16:24:51
30,1840,2024-10-10,16:24:51
31,1920,2024-10-10,16:24:51
32,1980,2024-10-10,16:24:51
33,2020,2024-10-10,16:24:51
34,2060,2024-10-10,16:24:51
35,2060,2024-10-10,16:24:51
36,2060,2024-10-10,16:24:51
37,2020,2024-10-10,16:24:51
38,2000,2024-10-10,16:24:51
39,2000,2024-10-10,16:24:51
40,2020,2024-10-10,16:24:51
41,2060,2024-10-10,16:24:51
42,2060,2024-10-10,16:24:51
43,2040,2024-10-10,16:24:51
44,1960,2024-10-10,16:24:51
45,1880,2024-10-10,16:24:51
46,1780,2024-10-10,16:24:51
47,1740,2024-10-10,16:24:51
48,1720,2024-10-10,16:24:51
49,1760,2024-10-10,16:24:51
50,1800,2024-10-10,16:24:51
51,1840,2024-10-10,16:24:51
52,1880,2024-10-10,16:24:51
53,1940,2024-10-10,16:24:51
54,1960,2024-10-10,16:24:51
55,1980,2024-10-10,16:24:51
56,2000,2024-10-10,16:24:51
57,1980,2024-10-10,16:24:51
58,1960,2024-10-10,16:24:51
59,1960,2024-10-10,16:24:51
60,1980,2024-10-10,16:24:51
61,1980,2024-10-10,16:24:51
62,1960,2024-10-10,16:24:51
63,1980,2024-10-10,16:24:52
64,2080,2024-10-10,16:24:52
65,2260,2024-10-10,16:24:52
66,2520,2024-10-10,16:24:52
