No.,APG Wave,Date,Time
0,3000,2024-10-10,16:32:42
1,2900,2024-10-10,16:32:42
2,2580,2024-10-10,16:32:42
3,2200,2024-10-10,16:32:42
4,1780,2024-10-10,16:32:42
5,1420,2024-10-10,16:32:42
6,1160,2024-10-10,16:32:42
7,1020,2024-10-10,16:32:42
8,1000,2024-10-10,16:32:42
9,1080,2024-10-10,16:32:42
10,1160,2024-10-10,16:32:42
11,1280,2024-10-10,16:32:42
12,1400,2024-10-10,16:32:42
13,1520,2024-10-10,16:32:42
14,1640,2024-10-10,16:32:42
15,1740,2024-10-10,16:32:42
16,1820,2024-10-10,16:32:42
17,1880,2024-10-10,16:32:42
18,1920,2024-10-10,16:32:42
19,1940,2024-10-10,16:32:42
20,1960,2024-10-10,16:32:42
21,1980,2024-10-10,16:32:42
22,2020,2024-10-10,16:32:42
23,2060,2024-10-10,16:32:42
24,2120,2024-10-10,16:32:42
25,2160,2024-10-10,16:32:42
26,2200,2024-10-10,16:32:42
27,2200,2024-10-10,16:32:42
28,2180,2024-10-10,16:32:42
29,2120,2024-10-10,16:32:42
30,2040,2024-10-10,16:32:42
31,1960,2024-10-10,16:32:42
32,1860,2024-10-10,16:32:42
33,1780,2024-10-10,16:32:42
34,1740,2024-10-10,16:32:42
35,1700,2024-10-10,16:32:42
36,1680,2024-10-10,16:32:42
37,1700,2024-10-10,16:32:42
38,1720,2024-10-10,16:32:42
39,1720,2024-10-10,16:32:42
40,1760,2024-10-10,16:32:42
41,1780,2024-10-10,16:32:42
42,1800,2024-10-10,16:32:42
43,1820,2024-10-10,16:32:43
44,1840,2024-10-10,16:32:43
45,1840,2024-10-10,16:32:43
46,1880,2024-10-10,16:32:43
47,1900,2024-10-10,16:32:43
48,2020,2024-10-10,16:32:43
49,2240,2024-10-10,16:32:43
50,2340,2024-10-10,16:32:43
51,2300,2024-10-10,16:32:43
52,2180,2024-10-10,16:32:43
53,1960,2024-10-10,16:32:43
54,1740,2024-10-10,16:32:43
55,1660,2024-10-10,16:32:43
56,1720,2024-10-10,16:32:43
57,1800,2024-10-10,16:32:43
58,1860,2024-10-10,16:32:43
59,1900,2024-10-10,16:32:43
60,1940,2024-10-10,16:32:43
61,1940,2024-10-10,16:32:43
62,1960,2024-10-10,16:32:43
63,1960,2024-10-10,16:32:43
64,1920,2024-10-10,16:32:43
65,1900,2024-10-10,16:32:43
66,1900,2024-10-10,16:32:43
67,1900,2024-10-10,16:32:43
68,1900,2024-10-10,16:32:43
69,1940,2024-10-10,16:32:43
70,2060,2024-10-10,16:32:43
71,2240,2024-10-10,16:32:43
72,2440,2024-10-10,16:32:43
73,2620,2024-10-10,16:32:43
74,2720,2024-10-10,16:32:43
75,2640,2024-10-10,16:32:43
