No.,APG Wave,Date,Time
0,1900,2024-10-07,12:17:00
1,1860,2024-10-07,12:17:00
2,1840,2024-10-07,12:17:00
3,1820,2024-10-07,12:17:00
4,1820,2024-10-07,12:17:00
5,1820,2024-10-07,12:17:00
6,1840,2024-10-07,12:17:00
7,1840,2024-10-07,12:17:00
8,1860,2024-10-07,12:17:00
9,1860,2024-10-07,12:17:00
10,1880,2024-10-07,12:17:00
11,1920,2024-10-07,12:17:00
12,1940,2024-10-07,12:17:00
13,1940,2024-10-07,12:17:00
14,1960,2024-10-07,12:17:00
15,1960,2024-10-07,12:17:00
16,1980,2024-10-07,12:17:00
17,1980,2024-10-07,12:17:00
18,1960,2024-10-07,12:17:00
19,1960,2024-10-07,12:17:00
20,1960,2024-10-07,12:17:00
21,1960,2024-10-07,12:17:00
22,1960,2024-10-07,12:17:00
23,1960,2024-10-07,12:17:00
24,1940,2024-10-07,12:17:00
25,1940,2024-10-07,12:17:00
26,1920,2024-10-07,12:17:00
27,1940,2024-10-07,12:17:00
28,1960,2024-10-07,12:17:00
29,2020,2024-10-07,12:17:00
30,2080,2024-10-07,12:17:00
31,2160,2024-10-07,12:17:00
32,2320,2024-10-07,12:17:00
33,2540,2024-10-07,12:17:00
34,2840,2024-10-07,12:17:00
35,3160,2024-10-07,12:17:00
36,3360,2024-10-07,12:17:00
37,3420,2024-10-07,12:17:01
38,3260,2024-10-07,12:17:01
39,2840,2024-10-07,12:17:01
40,2160,2024-10-07,12:17:01
41,1380,2024-10-07,12:17:01
42,720,2024-10-07,12:17:01
43,260,2024-10-07,12:17:01
44,20,2024-10-07,12:17:01
45,40,2024-10-07,12:17:01
46,300,2024-10-07,12:17:01
47,660,2024-10-07,12:17:01
48,980,2024-10-07,12:17:01
49,1260,2024-10-07,12:17:01
50,1500,2024-10-07,12:17:01
51,1680,2024-10-07,12:17:01
52,1820,2024-10-07,12:17:01
53,1900,2024-10-07,12:17:01
54,1960,2024-10-07,12:17:01
55,1980,2024-10-07,12:17:01
56,2000,2024-10-07,12:17:01
57,2000,2024-10-07,12:17:01
58,2020,2024-10-07,12:17:01
59,2060,2024-10-07,12:17:01
60,2080,2024-10-07,12:17:01
61,2100,2024-10-07,12:17:01
62,2120,2024-10-07,12:17:01
63,2140,2024-10-07,12:17:01
64,2140,2024-10-07,12:17:01
65,2120,2024-10-07,12:17:01
66,2100,2024-10-07,12:17:01
67,2080,2024-10-07,12:17:01
68,2020,2024-10-07,12:17:01
69,1980,2024-10-07,12:17:01
70,1940,2024-10-07,12:17:01
71,1920,2024-10-07,12:17:01
72,1880,2024-10-07,12:17:01
73,1840,2024-10-07,12:17:01
74,1820,2024-10-07,12:17:01
75,1820,2024-10-07,12:17:01
76,1820,2024-10-07,12:17:01
77,1820,2024-10-07,12:17:01
78,1840,2024-10-07,12:17:01
79,1860,2024-10-07,12:17:01
80,1880,2024-10-07,12:17:01
81,1900,2024-10-07,12:17:01
82,1900,2024-10-07,12:17:01
83,1920,2024-10-07,12:17:01
84,1900,2024-10-07,12:17:01
85,1900,2024-10-07,12:17:01
86,1920,2024-10-07,12:17:01
87,1920,2024-10-07,12:17:01
88,1940,2024-10-07,12:17:01
89,1960,2024-10-07,12:17:01
90,1960,2024-10-07,12:17:01
91,1960,2024-10-07,12:17:01
92,1960,2024-10-07,12:17:01
93,1960,2024-10-07,12:17:01
94,1940,2024-10-07,12:17:01
95,1940,2024-10-07,12:17:01
96,1920,2024-10-07,12:17:01
97,1920,2024-10-07,12:17:01
98,1920,2024-10-07,12:17:01
99,1940,2024-10-07,12:17:01
100,1940,2024-10-07,12:17:01
101,1960,2024-10-07,12:17:01
102,1980,2024-10-07,12:17:01
103,2060,2024-10-07,12:17:01
104,2140,2024-10-07,12:17:01
105,2320,2024-10-07,12:17:01
106,2540,2024-10-07,12:17:01
107,2860,2024-10-07,12:17:01
108,3180,2024-10-07,12:17:01
109,3380,2024-10-07,12:17:01
110,3400,2024-10-07,12:17:01
111,3200,2024-10-07,12:17:01
112,2700,2024-10-07,12:17:01
113,2000,2024-10-07,12:17:01
114,1240,2024-10-07,12:17:01
115,620,2024-10-07,12:17:01
116,260,2024-10-07,12:17:01
117,60,2024-10-07,12:17:01
118,140,2024-10-07,12:17:01
119,440,2024-10-07,12:17:01
120,800,2024-10-07,12:17:01
121,1080,2024-10-07,12:17:01
122,1360,2024-10-07,12:17:01
123,1560,2024-10-07,12:17:01
124,1720,2024-10-07,12:17:01
125,1860,2024-10-07,12:17:01
126,1920,2024-10-07,12:17:01
127,1940,2024-10-07,12:17:01
128,1980,2024-10-07,12:17:01
129,1980,2024-10-07,12:17:01
130,2000,2024-10-07,12:17:01
131,2020,2024-10-07,12:17:01
132,2060,2024-10-07,12:17:01
133,2080,2024-10-07,12:17:01
134,2100,2024-10-07,12:17:01
135,2120,2024-10-07,12:17:01
136,2120,2024-10-07,12:17:02
137,2120,2024-10-07,12:17:02
138,2100,2024-10-07,12:17:02
139,2080,2024-10-07,12:17:02
140,2060,2024-10-07,12:17:02
141,2020,2024-10-07,12:17:02
142,1980,2024-10-07,12:17:02
143,1940,2024-10-07,12:17:02
144,1920,2024-10-07,12:17:02
145,1860,2024-10-07,12:17:02
146,1840,2024-10-07,12:17:02
147,1820,2024-10-07,12:17:02
148,1820,2024-10-07,12:17:02
149,1820,2024-10-07,12:17:02
150,1820,2024-10-07,12:17:02
151,1840,2024-10-07,12:17:02
152,1860,2024-10-07,12:17:02
153,1880,2024-10-07,12:17:02
154,1900,2024-10-07,12:17:02
155,1920,2024-10-07,12:17:02
156,1920,2024-10-07,12:17:02
157,1920,2024-10-07,12:17:02
158,1940,2024-10-07,12:17:02
159,1940,2024-10-07,12:17:02
160,1960,2024-10-07,12:17:02
161,1980,2024-10-07,12:17:02
162,1980,2024-10-07,12:17:02
163,1960,2024-10-07,12:17:02
164,1960,2024-10-07,12:17:02
165,1960,2024-10-07,12:17:02
166,1940,2024-10-07,12:17:02
167,1940,2024-10-07,12:17:02
168,1940,2024-10-07,12:17:02
169,1920,2024-10-07,12:17:02
170,1940,2024-10-07,12:17:02
171,1940,2024-10-07,12:17:02
172,1960,2024-10-07,12:17:02
173,2000,2024-10-07,12:17:02
174,2060,2024-10-07,12:17:02
175,2180,2024-10-07,12:17:02
176,2340,2024-10-07,12:17:02
177,2560,2024-10-07,12:17:02
178,2840,2024-10-07,12:17:02
179,3120,2024-10-07,12:17:02
180,3280,2024-10-07,12:17:02
181,3260,2024-10-07,12:17:02
182,3020,2024-10-07,12:17:02
183,2540,2024-10-07,12:17:02
184,1880,2024-10-07,12:17:02
185,1180,2024-10-07,12:17:02
186,680,2024-10-07,12:17:02
187,320,2024-10-07,12:17:02
188,180,2024-10-07,12:17:02
189,280,2024-10-07,12:17:02
190,580,2024-10-07,12:17:02
191,860,2024-10-07,12:17:02
192,1160,2024-10-07,12:17:02
193,1400,2024-10-07,12:17:02
194,1600,2024-10-07,12:17:02
195,1760,2024-10-07,12:17:02
196,1860,2024-10-07,12:17:02
197,1920,2024-10-07,12:17:02
198,1960,2024-10-07,12:17:02
199,1980,2024-10-07,12:17:02
200,1980,2024-10-07,12:17:02
201,2000,2024-10-07,12:17:02
202,2040,2024-10-07,12:17:02
203,2060,2024-10-07,12:17:02
204,2080,2024-10-07,12:17:02
205,2080,2024-10-07,12:17:02
206,2120,2024-10-07,12:17:02
207,2120,2024-10-07,12:17:02
208,2120,2024-10-07,12:17:02
209,2100,2024-10-07,12:17:02
210,2080,2024-10-07,12:17:02
211,2020,2024-10-07,12:17:02
212,2000,2024-10-07,12:17:02
213,1980,2024-10-07,12:17:02
214,1920,2024-10-07,12:17:02
215,1880,2024-10-07,12:17:02
216,1860,2024-10-07,12:17:02
217,1840,2024-10-07,12:17:02
218,1840,2024-10-07,12:17:02
219,1820,2024-10-07,12:17:02
220,1820,2024-10-07,12:17:02
221,1840,2024-10-07,12:17:02
222,1880,2024-10-07,12:17:02
223,1860,2024-10-07,12:17:02
224,1880,2024-10-07,12:17:02
225,1900,2024-10-07,12:17:02
226,1900,2024-10-07,12:17:02
227,1920,2024-10-07,12:17:02
228,1920,2024-10-07,12:17:02
229,1940,2024-10-07,12:17:02
230,1940,2024-10-07,12:17:02
231,1940,2024-10-07,12:17:02
232,1960,2024-10-07,12:17:03
233,1960,2024-10-07,12:17:03
234,1960,2024-10-07,12:17:03
235,1940,2024-10-07,12:17:03
236,1940,2024-10-07,12:17:03
237,1940,2024-10-07,12:17:03
238,1940,2024-10-07,12:17:03
239,1920,2024-10-07,12:17:03
240,1940,2024-10-07,12:17:03
241,1940,2024-10-07,12:17:03
242,1980,2024-10-07,12:17:03
243,2000,2024-10-07,12:17:03
244,2060,2024-10-07,12:17:03
245,2160,2024-10-07,12:17:03
246,2320,2024-10-07,12:17:03
247,2500,2024-10-07,12:17:03
248,2760,2024-10-07,12:17:03
249,3020,2024-10-07,12:17:03
250,3180,2024-10-07,12:17:03
251,3160,2024-10-07,12:17:03
252,2940,2024-10-07,12:17:03
253,2540,2024-10-07,12:17:03
254,1940,2024-10-07,12:17:03
255,1300,2024-10-07,12:17:03
256,780,2024-10-07,12:17:03
257,420,2024-10-07,12:17:03
258,280,2024-10-07,12:17:03
259,400,2024-10-07,12:17:03
260,680,2024-10-07,12:17:03
261,940,2024-10-07,12:17:03
262,1200,2024-10-07,12:17:03
263,1420,2024-10-07,12:17:03
264,1600,2024-10-07,12:17:03
265,1760,2024-10-07,12:17:03
266,1840,2024-10-07,12:17:03
267,1920,2024-10-07,12:17:03
268,1980,2024-10-07,12:17:03
269,2000,2024-10-07,12:17:03
270,2020,2024-10-07,12:17:03
271,2040,2024-10-07,12:17:03
272,2060,2024-10-07,12:17:03
273,2080,2024-10-07,12:17:03
274,2100,2024-10-07,12:17:03
275,2120,2024-10-07,12:17:03
276,2100,2024-10-07,12:17:03
277,2100,2024-10-07,12:17:03
278,2080,2024-10-07,12:17:03
279,2060,2024-10-07,12:17:03
280,2020,2024-10-07,12:17:03
281,2000,2024-10-07,12:17:03
282,1940,2024-10-07,12:17:03
