No.,APG Wave,Date,Time
0,1840,2024-10-07,12:23:24
1,1780,2024-10-07,12:23:24
2,1720,2024-10-07,12:23:24
3,1700,2024-10-07,12:23:24
4,1700,2024-10-07,12:23:24
5,1720,2024-10-07,12:23:24
6,1780,2024-10-07,12:23:24
7,1800,2024-10-07,12:23:24
8,1840,2024-10-07,12:23:24
9,1860,2024-10-07,12:23:24
10,1900,2024-10-07,12:23:24
11,1900,2024-10-07,12:23:24
12,1920,2024-10-07,12:23:24
13,1920,2024-10-07,12:23:24
14,1940,2024-10-07,12:23:24
15,1940,2024-10-07,12:23:24
16,1940,2024-10-07,12:23:24
17,1960,2024-10-07,12:23:24
18,1960,2024-10-07,12:23:24
19,1940,2024-10-07,12:23:24
20,1940,2024-10-07,12:23:24
21,1940,2024-10-07,12:23:24
22,1940,2024-10-07,12:23:24
23,1940,2024-10-07,12:23:24
24,1960,2024-10-07,12:23:24
25,1940,2024-10-07,12:23:24
26,1940,2024-10-07,12:23:24
27,1940,2024-10-07,12:23:24
28,1940,2024-10-07,12:23:24
29,1940,2024-10-07,12:23:24
30,1920,2024-10-07,12:23:24
31,1900,2024-10-07,12:23:24
32,1880,2024-10-07,12:23:24
33,1860,2024-10-07,12:23:24
34,1860,2024-10-07,12:23:24
35,1860,2024-10-07,12:23:24
36,1880,2024-10-07,12:23:24
37,1880,2024-10-07,12:23:24
38,1920,2024-10-07,12:23:24
39,2080,2024-10-07,12:23:24
40,2300,2024-10-07,12:23:24
41,2600,2024-10-07,12:23:24
42,2900,2024-10-07,12:23:24
43,3080,2024-10-07,12:23:24
44,3020,2024-10-07,12:23:24
45,2800,2024-10-07,12:23:24
46,2400,2024-10-07,12:23:24
47,1980,2024-10-07,12:23:24
48,1520,2024-10-07,12:23:24
49,1160,2024-10-07,12:23:24
50,900,2024-10-07,12:23:24
51,780,2024-10-07,12:23:24
52,820,2024-10-07,12:23:24
53,960,2024-10-07,12:23:24
54,1120,2024-10-07,12:23:24
55,1300,2024-10-07,12:23:24
56,1460,2024-10-07,12:23:24
57,1660,2024-10-07,12:23:25
58,1820,2024-10-07,12:23:25
59,1920,2024-10-07,12:23:25
60,2000,2024-10-07,12:23:25
61,2020,2024-10-07,12:23:25
62,2020,2024-10-07,12:23:25
63,2000,2024-10-07,12:23:25
64,1980,2024-10-07,12:23:25
65,2020,2024-10-07,12:23:25
66,2060,2024-10-07,12:23:25
67,2100,2024-10-07,12:23:25
68,2180,2024-10-07,12:23:25
69,2200,2024-10-07,12:23:25
70,2200,2024-10-07,12:23:25
71,2160,2024-10-07,12:23:25
72,2080,2024-10-07,12:23:25
73,1980,2024-10-07,12:23:25
74,1880,2024-10-07,12:23:25
75,1780,2024-10-07,12:23:25
76,1720,2024-10-07,12:23:25
77,1660,2024-10-07,12:23:25
78,1640,2024-10-07,12:23:25
79,1640,2024-10-07,12:23:25
80,1660,2024-10-07,12:23:25
81,1720,2024-10-07,12:23:25
82,1820,2024-10-07,12:23:25
83,1860,2024-10-07,12:23:25
84,1840,2024-10-07,12:23:25
85,1720,2024-10-07,12:23:25
86,1500,2024-10-07,12:23:25
87,1400,2024-10-07,12:23:25
88,1460,2024-10-07,12:23:25
89,1620,2024-10-07,12:23:25
90,1900,2024-10-07,12:23:25
91,2200,2024-10-07,12:23:25
92,2360,2024-10-07,12:23:25
93,2320,2024-10-07,12:23:25
94,2240,2024-10-07,12:23:25
95,2140,2024-10-07,12:23:25
96,2080,2024-10-07,12:23:25
97,2020,2024-10-07,12:23:25
98,1980,2024-10-07,12:23:25
99,1960,2024-10-07,12:23:25
100,1900,2024-10-07,12:23:25
101,1880,2024-10-07,12:23:25
102,1900,2024-10-07,12:23:25
103,1960,2024-10-07,12:23:25
104,1940,2024-10-07,12:23:25
105,1940,2024-10-07,12:23:25
106,1980,2024-10-07,12:23:25
107,2080,2024-10-07,12:23:25
108,2280,2024-10-07,12:23:25
109,2600,2024-10-07,12:23:25
110,2920,2024-10-07,12:23:25
111,3120,2024-10-07,12:23:25
112,3100,2024-10-07,12:23:25
113,2860,2024-10-07,12:23:25
114,2520,2024-10-07,12:23:25
115,2060,2024-10-07,12:23:25
116,1580,2024-10-07,12:23:25
117,1180,2024-10-07,12:23:25
118,900,2024-10-07,12:23:25
119,700,2024-10-07,12:23:25
120,680,2024-10-07,12:23:25
121,820,2024-10-07,12:23:25
122,1000,2024-10-07,12:23:25
123,1180,2024-10-07,12:23:25
124,1420,2024-10-07,12:23:25
125,1620,2024-10-07,12:23:25
126,1780,2024-10-07,12:23:25
127,1880,2024-10-07,12:23:25
128,1960,2024-10-07,12:23:25
129,1960,2024-10-07,12:23:25
130,1960,2024-10-07,12:23:25
131,1960,2024-10-07,12:23:25
132,1980,2024-10-07,12:23:25
133,2040,2024-10-07,12:23:25
134,2120,2024-10-07,12:23:25
135,2180,2024-10-07,12:23:25
136,2260,2024-10-07,12:23:25
137,2300,2024-10-07,12:23:25
138,2300,2024-10-07,12:23:25
139,2240,2024-10-07,12:23:25
140,2140,2024-10-07,12:23:25
141,2020,2024-10-07,12:23:25
142,1860,2024-10-07,12:23:25
143,1720,2024-10-07,12:23:25
144,1660,2024-10-07,12:23:25
145,1600,2024-10-07,12:23:25
146,1600,2024-10-07,12:23:25
147,1620,2024-10-07,12:23:25
148,1720,2024-10-07,12:23:25
149,1760,2024-10-07,12:23:25
150,1840,2024-10-07,12:23:26
151,1880,2024-10-07,12:23:26
152,1880,2024-10-07,12:23:26
153,1900,2024-10-07,12:23:26
154,1940,2024-10-07,12:23:26
155,1960,2024-10-07,12:23:26
156,1960,2024-10-07,12:23:26
157,1980,2024-10-07,12:23:26
158,1960,2024-10-07,12:23:26
159,1960,2024-10-07,12:23:26
160,1960,2024-10-07,12:23:26
161,1940,2024-10-07,12:23:26
162,1940,2024-10-07,12:23:26
163,1940,2024-10-07,12:23:26
164,1940,2024-10-07,12:23:26
165,1940,2024-10-07,12:23:26
166,1960,2024-10-07,12:23:26
