No.,APG Wave,Date,Time
0,1840,2024-10-08,10:09:15
1,1860,2024-10-08,10:09:15
2,1880,2024-10-08,10:09:15
3,1900,2024-10-08,10:09:15
4,1900,2024-10-08,10:09:15
5,1940,2024-10-08,10:09:15
6,1960,2024-10-08,10:09:15
7,1960,2024-10-08,10:09:15
8,1980,2024-10-08,10:09:15
9,1980,2024-10-08,10:09:15
10,1960,2024-10-08,10:09:15
11,1960,2024-10-08,10:09:15
12,1980,2024-10-08,10:09:15
13,1960,2024-10-08,10:09:15
14,1940,2024-10-08,10:09:15
15,1960,2024-10-08,10:09:15
16,1920,2024-10-08,10:09:15
17,1920,2024-10-08,10:09:15
18,1900,2024-10-08,10:09:15
19,1920,2024-10-08,10:09:16
20,1900,2024-10-08,10:09:16
21,1920,2024-10-08,10:09:16
22,1880,2024-10-08,10:09:16
23,1900,2024-10-08,10:09:16
24,1920,2024-10-08,10:09:16
25,1920,2024-10-08,10:09:16
26,1920,2024-10-08,10:09:16
27,1900,2024-10-08,10:09:16
28,1880,2024-10-08,10:09:16
29,1880,2024-10-08,10:09:16
30,1880,2024-10-08,10:09:16
31,1900,2024-10-08,10:09:16
32,1920,2024-10-08,10:09:16
33,2000,2024-10-08,10:09:16
34,2180,2024-10-08,10:09:16
35,2480,2024-10-08,10:09:16
36,2880,2024-10-08,10:09:16
37,3300,2024-10-08,10:09:16
38,3500,2024-10-08,10:09:16
39,3420,2024-10-08,10:09:16
40,3120,2024-10-08,10:09:16
41,2580,2024-10-08,10:09:16
42,1900,2024-10-08,10:09:16
43,1240,2024-10-08,10:09:16
44,720,2024-10-08,10:09:16
45,360,2024-10-08,10:09:16
46,220,2024-10-08,10:09:16
47,280,2024-10-08,10:09:16
48,580,2024-10-08,10:09:16
49,920,2024-10-08,10:09:16
50,1240,2024-10-08,10:09:16
51,1520,2024-10-08,10:09:16
52,1740,2024-10-08,10:09:16
53,1900,2024-10-08,10:09:16
54,2040,2024-10-08,10:09:16
55,2040,2024-10-08,10:09:16
56,2060,2024-10-08,10:09:16
57,2060,2024-10-08,10:09:16
58,2080,2024-10-08,10:09:16
59,2120,2024-10-08,10:09:16
60,2160,2024-10-08,10:09:16
61,2200,2024-10-08,10:09:16
62,2200,2024-10-08,10:09:16
63,2180,2024-10-08,10:09:16
64,2120,2024-10-08,10:09:16
65,2060,2024-10-08,10:09:16
66,1980,2024-10-08,10:09:16
67,1880,2024-10-08,10:09:16
68,1800,2024-10-08,10:09:16
69,1700,2024-10-08,10:09:16
70,1660,2024-10-08,10:09:16
71,1660,2024-10-08,10:09:16
72,1680,2024-10-08,10:09:16
73,1700,2024-10-08,10:09:16
74,1740,2024-10-08,10:09:16
75,1800,2024-10-08,10:09:16
76,1840,2024-10-08,10:09:16
77,1860,2024-10-08,10:09:16
78,1920,2024-10-08,10:09:16
79,1960,2024-10-08,10:09:16
80,1960,2024-10-08,10:09:16
81,1920,2024-10-08,10:09:16
82,1840,2024-10-08,10:09:16
83,1800,2024-10-08,10:09:16
84,1820,2024-10-08,10:09:16
85,1860,2024-10-08,10:09:16
86,1960,2024-10-08,10:09:16
87,2060,2024-10-08,10:09:16
88,2120,2024-10-08,10:09:16
89,2080,2024-10-08,10:09:16
90,2040,2024-10-08,10:09:16
91,2000,2024-10-08,10:09:16
92,1980,2024-10-08,10:09:16
93,1960,2024-10-08,10:09:16
94,1960,2024-10-08,10:09:16
95,1920,2024-10-08,10:09:16
96,1900,2024-10-08,10:09:16
97,1900,2024-10-08,10:09:16
98,1880,2024-10-08,10:09:16
99,1860,2024-10-08,10:09:16
100,1860,2024-10-08,10:09:16
101,1860,2024-10-08,10:09:16
102,1860,2024-10-08,10:09:16
103,1860,2024-10-08,10:09:16
104,1840,2024-10-08,10:09:16
105,1860,2024-10-08,10:09:16
106,1920,2024-10-08,10:09:16
107,2040,2024-10-08,10:09:16
108,2280,2024-10-08,10:09:16
109,2600,2024-10-08,10:09:16
110,3260,2024-10-08,10:09:16
111,3360,2024-10-08,10:09:16
112,3180,2024-10-08,10:09:16
113,2820,2024-10-08,10:09:16
114,1640,2024-10-08,10:09:17
115,1040,2024-10-08,10:09:17
116,620,2024-10-08,10:09:17
117,360,2024-10-08,10:09:17
118,340,2024-10-08,10:09:17
119,560,2024-10-08,10:09:17
120,860,2024-10-08,10:09:17
121,1140,2024-10-08,10:09:17
122,1420,2024-10-08,10:09:17
123,1680,2024-10-08,10:09:17
124,1840,2024-10-08,10:09:17
125,1940,2024-10-08,10:09:17
126,2000,2024-10-08,10:09:17
127,2020,2024-10-08,10:09:17
128,2020,2024-10-08,10:09:17
129,2040,2024-10-08,10:09:17
130,2100,2024-10-08,10:09:17
131,2160,2024-10-08,10:09:17
132,2200,2024-10-08,10:09:17
133,2260,2024-10-08,10:09:17
134,2260,2024-10-08,10:09:17
135,2220,2024-10-08,10:09:17
136,2180,2024-10-08,10:09:17
137,2100,2024-10-08,10:09:17
138,1960,2024-10-08,10:09:17
139,1840,2024-10-08,10:09:17
140,1760,2024-10-08,10:09:17
141,1680,2024-10-08,10:09:17
142,1660,2024-10-08,10:09:17
143,1660,2024-10-08,10:09:17
144,1660,2024-10-08,10:09:17
145,1700,2024-10-08,10:09:17
146,1760,2024-10-08,10:09:17
147,1780,2024-10-08,10:09:17
148,1840,2024-10-08,10:09:17
149,1900,2024-10-08,10:09:17
150,1920,2024-10-08,10:09:17
151,1940,2024-10-08,10:09:17
152,1940,2024-10-08,10:09:17
153,1960,2024-10-08,10:09:17
154,1960,2024-10-08,10:09:17
155,1980,2024-10-08,10:09:17
156,2000,2024-10-08,10:09:17
157,1980,2024-10-08,10:09:17
158,1980,2024-10-08,10:09:17
159,1980,2024-10-08,10:09:17
160,1980,2024-10-08,10:09:17
161,1960,2024-10-08,10:09:17
162,1940,2024-10-08,10:09:17
163,1940,2024-10-08,10:09:17
164,1940,2024-10-08,10:09:17
165,1920,2024-10-08,10:09:17
166,1920,2024-10-08,10:09:17
167,1920,2024-10-08,10:09:17
